t,x,y
4.900000e1,-2.290814e2,2.470822e2
4.904000e1,-2.267111e2,2.487324e2
4.908000e1,-2.251126e2,2.529059e2
4.912000e1,-2.235083e2,2.577490e2
4.916000e1,-2.196837e2,2.575307e2
4.920000e1,-2.163899e2,2.593619e2
4.924000e1,-2.146398e2,2.628707e2
4.928000e1,-2.114761e2,2.661247e2
4.932000e1,-2.086968e2,2.676763e2
4.936000e1,-2.055703e2,2.698139e2
4.940000e1,-2.022242e2,2.721336e2
4.944000e1,-1.999663e2,2.762297e2
4.948000e1,-1.971238e2,2.773270e2
4.952000e1,-1.945754e2,2.793017e2
4.956000e1,-1.927969e2,2.830120e2
4.960000e1,-1.900256e2,2.850601e2
4.964000e1,-1.873929e2,2.863099e2
4.968000e1,-1.845244e2,2.891862e2
4.972000e1,-1.815347e2,2.899765e2
4.976000e1,-1.795529e2,2.927006e2
4.980000e1,-1.754308e2,2.932363e2
4.984000e1,-1.736485e2,2.948065e2
4.988000e1,-1.712772e2,2.982627e2
4.992000e1,-1.689419e2,3.003650e2
4.996000e1,-1.664057e2,3.012976e2
5.000000e1,-1.639981e2,3.032581e2
5.004000e1,-1.615686e2,3.046236e2
5.008000e1,-1.583136e2,3.060220e2
5.012000e1,-1.554014e2,3.067068e2
5.016000e1,-1.534170e2,3.098022e2
5.020000e1,-1.495345e2,3.099261e2
5.024000e1,-1.462981e2,3.104023e2
5.028000e1,-1.444364e2,3.136264e2
5.032000e1,-1.415569e2,3.157226e2
5.036000e1,-1.384230e2,3.162875e2
5.040000e1,-1.357194e2,3.176903e2
5.044000e1,-1.331600e2,3.210228e2
5.048000e1,-1.297302e2,3.206027e2
5.052000e1,-1.266959e2,3.195247e2
5.056000e1,-1.244951e2,3.228735e2
5.060000e1,-1.223732e2,3.260585e2
5.064000e1,-1.196037e2,3.255036e2
5.068000e1,-1.166346e2,3.261711e2
5.072000e1,-1.141377e2,3.267726e2
5.076000e1,-1.114726e2,3.282244e2
5.080000e1,-1.095746e2,3.302260e2
5.084000e1,-1.065878e2,3.295671e2
5.088000e1,-1.037130e2,3.297950e2
5.092000e1,-1.013449e2,3.323800e2
5.096000e1,-9.863059e1,3.325923e2
5.100000e1,-9.550815e1,3.329213e2
5.104000e1,-9.368397e1,3.347385e2
5.108000e1,-8.976483e1,3.336147e2
5.112000e1,-8.744123e1,3.356657e2
5.116000e1,-8.450919e1,3.360276e2
5.120000e1,-8.230214e1,3.381501e2
5.124000e1,-8.054849e1,3.397595e2
5.128000e1,-7.719309e1,3.401625e2
5.132000e1,-7.419681e1,3.403633e2
5.136000e1,-7.210145e1,3.413003e2
5.140000e1,-6.940429e1,3.412565e2
5.144000e1,-6.730904e1,3.417199e2
5.148000e1,-6.523538e1,3.441743e2
5.152000e1,-6.167500e1,3.424794e2
5.156000e1,-6.024799e1,3.452900e2
5.160000e1,-5.839030e1,3.465335e2
5.164000e1,-5.542022e1,3.462266e2
5.168000e1,-5.244398e1,3.454175e2
5.172000e1,-5.008315e1,3.459690e2
5.176000e1,-4.846167e1,3.464660e2
5.180000e1,-4.617166e1,3.482202e2
5.184000e1,-4.363886e1,3.481145e2
5.188000e1,-4.139249e1,3.477658e2
5.192000e1,-3.904494e1,3.492286e2
5.196000e1,-3.709111e1,3.495373e2
5.200000e1,-3.520631e1,3.500125e2
5.204000e1,-3.303181e1,3.502124e2
5.208000e1,-3.068195e1,3.493632e2
5.212000e1,-2.870619e1,3.506192e2
5.216000e1,-2.660885e1,3.507420e2
5.220000e1,-2.445596e1,3.510224e2
5.224000e1,-2.276702e1,3.510823e2
5.228000e1,-2.064291e1,3.530864e2
5.232000e1,-1.850715e1,3.527683e2
5.236000e1,-1.638860e1,3.509042e2
5.240000e1,-1.430571e1,3.535063e2
5.244000e1,-1.253717e1,3.531770e2
5.248000e1,-1.053902e1,3.531463e2
5.252000e1,-8.617776e0,3.530788e2
5.256000e1,-7.104088e0,3.521637e2
5.260000e1,-5.161646e0,3.531271e2
5.264000e1,-3.605119e0,3.552297e2
5.268000e1,-1.608095e0,3.537726e2
5.272000e1,4.265646e-1,3.530825e2
5.276000e1,1.731030e0,3.531551e2
5.280000e1,3.581478e0,3.554000e2
5.284000e1,5.582441e0,3.546711e2
5.288000e1,7.489557e0,3.536585e2
5.292000e1,9.598489e0,3.537848e2
5.296000e1,1.134606e1,3.566143e2
5.300000e1,1.351521e1,3.541710e2
5.304000e1,1.534218e1,3.558225e2
5.308000e1,1.729177e1,3.551551e2
5.312000e1,1.935637e1,3.535009e2
5.316000e1,2.151042e1,3.543322e2
5.320000e1,2.353712e1,3.537397e2
5.324000e1,2.556850e1,3.541432e2
5.328000e1,2.744080e1,3.538004e2
5.332000e1,2.976739e1,3.534676e2
5.336000e1,3.148727e1,3.524786e2
5.340000e1,3.415132e1,3.533395e2
5.344000e1,3.614567e1,3.525881e2
5.348000e1,3.768428e1,3.530213e2
5.352000e1,3.994867e1,3.529242e2
5.356000e1,4.224435e1,3.524535e2
5.360000e1,4.428795e1,3.517312e2
5.364000e1,4.674236e1,3.517896e2
5.368000e1,4.889838e1,3.520597e2
5.372000e1,5.063156e1,3.516268e2
5.376000e1,5.293602e1,3.522898e2
5.380000e1,5.534553e1,3.513736e2
5.384000e1,5.741003e1,3.515692e2
5.388000e1,5.958160e1,3.515607e2
5.392000e1,6.193433e1,3.516554e2
5.396000e1,6.401057e1,3.509451e2
5.400000e1,6.584484e1,3.503478e2
5.404000e1,6.833359e1,3.504725e2
5.408000e1,7.044721e1,3.500545e2
5.412000e1,7.278086e1,3.496247e2
5.416000e1,7.446781e1,3.493994e2
5.420000e1,7.703026e1,3.495023e2
5.424000e1,7.868808e1,3.489782e2
5.428000e1,8.077624e1,3.480926e2
5.432000e1,8.323123e1,3.481751e2
5.436000e1,8.565802e1,3.482096e2
5.440000e1,8.781907e1,3.474615e2
5.444000e1,9.005247e1,3.466998e2
5.448000e1,9.195900e1,3.463386e2
5.452000e1,9.432540e1,3.468073e2
5.456000e1,9.728678e1,3.462147e2
5.460000e1,9.918633e1,3.454335e2
5.464000e1,1.024475e2,3.465994e2
5.468000e1,1.048261e2,3.446190e2
5.472000e1,1.072048e2,3.443818e2
5.476000e1,1.103773e2,3.446448e2
5.480000e1,1.128178e2,3.425909e2
5.484000e1,1.153822e2,3.436253e2
5.488000e1,1.178825e2,3.426380e2
5.492000e1,1.203392e2,3.411656e2
