Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
6.53%,333,,,,,
6.54%,307,,,,,
6.55%,314,,,,,
6.56%,283,,,,,
6.57%,338,,,,,
6.58%,303,,,,,
6.59%,299,,,,,
6.60%,304,,,,,
6.61%,323,,,,,
6.62%,295,,,,,
6.63%,327,,,,,
6.64%,292,,,,,
6.65%,317,,,,,
6.66%,321,,,,,
6.67%,305,,,,,
6.68%,296,,,,,
6.69%,330,,,,,
6.70%,334,,,,,
6.71%,341,,,,,
6.72%,301,,,,,
6.73%,317,,,,,
6.74%,333,,,,,
6.75%,331,,,,,
6.76%,316,,,,,
6.77%,306,,,,,
6.78%,356,,,,,
6.79%,337,,,,,
6.80%,318,,,,,
6.81%,354,,,,,
6.82%,316,,,,,
6.83%,307,,,,,
6.84%,322,,,,,
6.85%,308,,,,,
6.86%,351,,,,,
6.87%,316,,,,,
6.88%,324,,,,,
6.89%,308,,,,,
6.90%,318,,,,,
6.91%,323,,,,,
6.92%,347,,,,,
6.93%,310,,,,,
6.94%,339,,,,,
6.95%,314,,,,,
6.96%,307,,,,,
6.97%,347,,,,,
6.98%,312,,,,,
6.99%,314,,,,,
7%,321,,,,,
7.01%,334,,,,,
7.02%,323,,,,,
7.03%,322,,,,,
7.04%,300,,,,,
7.05%,340,,,,,
7.06%,295,,,,,
7.07%,330,,,,,
7.08%,323,,,,,
7.09%,283,,,,,
7.10%,304,,,,,
7.11%,343,,,,,
7.12%,317,,,,,
7.13%,327,,,,,
7.14%,292,,,,,
7.15%,301,,,,,
7.16%,319,,,,,
7.17%,333,,,,,
7.18%,320,,,,,
7.19%,335,,,,,
7.20%,306,,,,,
7.21%,315,,,,,
7.22%,295,,,,,
7.23%,323,,,,,
7.24%,339,,,,,
7.25%,322,,,,,
7.26%,336,,,,,
7.27%,305,,,,,
7.28%,302,,,,,
7.29%,317,,,,,
7.30%,317,,,,,
7.31%,325,,,,,
7.32%,303,,,,,
