Max Height Percentage, Count, Total Collision Count, Time increment τ[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000, 2.5e-9, 0.125899544,0.1,51
65.50%,123,,,,
65.60%,115,,,,
65.70%,121,,,,
65.80%,130,,,,
65.90%,116,,,,
66%,105,,,,
66.10%,119,,,,
66.20%,109,,,,
66.30%,102,,,,
66.40%,99,,,,
66.50%,105,,,,
66.60%,109,,,,
66.70%,101,,,,
66.80%,107,,,,
66.90%,94,,,,
67%,107,,,,
67.10%,94,,,,
67.20%,95,,,,
67.30%,74,,,,
67.40%,88,,,,
67.50%,111,,,,
67.60%,95,,,,
67.70%,91,,,,
67.80%,92,,,,
67.90%,76,,,,
68%,84,,,,
68.10%,84,,,,
68.20%,83,,,,
68.30%,92,,,,
68.40%,88,,,,
68.50%,94,,,,
68.60%,80,,,,
68.70%,90,,,,
68.80%,64,,,,
68.90%,73,,,,
69%,68,,,,
69.10%,77,,,,
69.20%,81,,,,
69.30%,70,,,,
69.40%,75,,,,
69.50%,89,,,,
69.60%,70,,,,
69.70%,70,,,,
69.80%,63,,,,
69.90%,69,,,,
70%,72,,,,
70.10%,60,,,,
70.20%,69,,,,
70.30%,62,,,,
70.40%,59,,,,
70.50%,76,,,,
70.60%,53,,,,
70.70%,72,,,,
70.80%,68,,,,
70.90%,69,,,,
71%,68,,,,
71.10%,67,,,,
71.20%,46,,,,
71.30%,54,,,,
71.40%,66,,,,
71.50%,69,,,,
71.60%,51,,,,
71.70%,53,,,,
71.80%,63,,,,
