"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
1.925,-0.263771287762
1.93,-0.263771287762
1.935,-0.263771287762
1.94,-0.263771287762
1.945,-0.263771287762
1.95,-0.263771287762
1.955,-0.259588472334
1.96,-0.263771287762
1.965,-0.267708055224
1.97,-0.263771287762
1.975,-0.263771287762
1.98,-0.259588472334
1.985,-0.263771287762
1.99,-0.263771287762
1.995,-0.255651704872
2,-0.263771287762
2.005,-0.263771287762
2.01,-0.259588472334
2.015,-0.255651704872
2.02,-0.259588472334
2.025,-0.263771287762
2.03,-0.259588472334
2.035,-0.259588472334
2.04,-0.263771287762
2.045,-0.263771287762
2.05,-0.259588472334
2.055,-0.263771287762
2.06,-0.259588472334
2.065,-0.263771287762
2.07,-0.259588472334
2.075,-0.259588472334
2.08,-0.259588472334
2.085,-0.263771287762
2.09,-0.263771287762
2.095,-0.263771287762
2.1,-0.263771287762
2.105,-0.267708055224
2.11,-0.267708055224
2.115,-0.263771287762
2.12,-0.267708055224
2.125,-0.271890870652
2.13,-0.271890870652
2.135,-0.267708055224
2.14,-0.271890870652
2.145,-0.280010453542
2.15,-0.280010453542
2.155,-0.275827638114
2.16,-0.280010453542
2.165,-0.283947221003
2.17,-0.283947221003
2.175,-0.283947221003
2.18,-0.283947221003
2.185,-0.288130036432
2.19,-0.288130036432
2.195,-0.283947221003
2.2,-0.280010453542
2.205,-0.288130036432
2.21,-0.280010453542
2.215,-0.280010453542
2.22,-0.280010453542
2.225,-0.280010453542
2.23,-0.283947221003
2.235,-0.275827638114
2.24,-0.280010453542
2.245,-0.280010453542
2.25,-0.275827638114
2.255,-0.275827638114
2.26,-0.280010453542
2.265,-0.275827638114
2.27,-0.275827638114
2.275,-0.271890870652
2.28,-0.275827638114
2.285,-0.280010453542
2.29,-0.280010453542
2.295,-0.280010453542
2.3,-0.283947221003
2.305,-0.288130036432
2.31,-0.283947221003
2.315,-0.288130036432
2.32,-0.283947221003
2.325,-0.288130036432
2.33,-0.292066803893
2.335,-0.288130036432
