t,x,y
1.488000e1,-1.301227e2,-3.113859e2
1.492000e1,-1.440748e2,-3.050739e2
1.496000e1,-1.579180e2,-2.969021e2
1.500000e1,-1.703130e2,-2.898531e2
1.504000e1,-1.841475e2,-2.807552e2
1.508000e1,-1.961553e2,-2.728852e2
1.512000e1,-2.086755e2,-2.638612e2
1.516000e1,-2.212435e2,-2.533970e2
1.520000e1,-2.325052e2,-2.437215e2
1.524000e1,-2.425002e2,-2.321906e2
1.528000e1,-2.528635e2,-2.214674e2
1.532000e1,-2.626010e2,-2.097016e2
1.536000e1,-2.722104e2,-1.979399e2
1.540000e1,-2.805420e2,-1.851496e2
1.544000e1,-2.896267e2,-1.711591e2
1.548000e1,-3.016503e2,-1.566601e2
1.552000e1,-3.081749e2,-1.436215e2
1.556000e1,-3.162073e2,-1.299619e2
1.560000e1,-3.173016e2,-1.129017e2
1.564000e1,-3.267327e2,-1.022051e2
1.568000e1,-3.307912e2,-8.569570e1
1.572000e1,-3.369168e2,-7.270388e1
1.576000e1,-3.392405e2,-5.859033e1
1.580000e1,-3.448344e2,-4.336707e1
1.584000e1,-3.459571e2,-2.745416e1
1.588000e1,-3.475576e2,-1.194247e1
1.592000e1,-3.502588e2,3.991822e0
1.596000e1,-3.485453e2,1.924351e1
1.600000e1,-3.490507e2,3.617545e1
1.604000e1,-3.487342e2,5.153035e1
1.608000e1,-3.457267e2,6.629392e1
1.612000e1,-3.427961e2,8.333854e1
1.616000e1,-3.404808e2,9.928817e1
1.620000e1,-3.375804e2,1.136801e2
1.624000e1,-3.335674e2,1.294511e2
1.628000e1,-3.282492e2,1.441026e2
1.632000e1,-3.226291e2,1.588346e2
1.636000e1,-3.163399e2,1.755954e2
1.640000e1,-3.083876e2,1.884445e2
1.644000e1,-2.960970e2,1.982580e2
1.648000e1,-2.885360e2,2.083254e2
1.652000e1,-2.818952e2,2.227478e2
1.656000e1,-2.714948e2,2.346495e2
1.660000e1,-2.604481e2,2.472245e2
1.664000e1,-2.500823e2,2.587240e2
1.668000e1,-2.315921e2,2.625630e2
1.672000e1,-2.232165e2,2.758460e2
1.676000e1,-2.108614e2,2.885620e2
1.680000e1,-2.031207e2,2.963006e2
1.684000e1,-1.877301e2,3.051436e2
1.688000e1,-1.755602e2,3.142005e2
1.692000e1,-1.618339e2,3.200284e2
1.696000e1,-1.483864e2,3.260694e2
1.700000e1,-1.339823e2,3.321538e2
1.704000e1,-1.209700e2,3.382905e2
1.708000e1,-1.060230e2,3.412683e2
1.712000e1,-9.165259e1,3.470295e2
1.716000e1,-7.694207e1,3.507105e2
1.720000e1,-6.431525e1,3.562465e2
1.724000e1,-4.639460e1,3.571570e2
1.728000e1,-2.943970e1,3.584674e2
1.732000e1,-1.442743e1,3.620392e2
1.736000e1,1.695155e0,3.625604e2
1.740000e1,1.610095e1,3.620673e2
1.744000e1,3.166109e1,3.597053e2
1.748000e1,4.584850e1,3.603427e2
1.752000e1,6.045123e1,3.572653e2
1.756000e1,7.420183e1,3.546374e2
1.760000e1,9.045945e1,3.508648e2
