Sample (50 kS/s),   mV
02046,            248.00
02047,            216.00
02048,           -392.00
02049,             48.00
02050,            352.00
02051,           -312.00
02052,           -152.00
02053,            392.00
02054,           -128.00
02055,           -312.00
02056,            336.00
02057,             72.00
02058,           -392.00
02059,            200.00
02060,            256.00
02061,           -368.00
02062,              0.00
02063,            376.00
02064,           -272.00
02065,           -192.00
02066,            384.00
02067,            -80.00
02068,           -336.00
02069,            328.00
02070,            120.00
02071,           -400.00
02072,            152.00
02073,            288.00
02074,           -352.00
02075,            -48.00
02076,            384.00
02077,           -232.00
02078,           -232.00
02079,            376.00
02080,            -32.00
02081,           -360.00
02082,            288.00
02083,            168.00
02084,           -384.00
02085,            112.00
02086,            328.00
02087,           -336.00
02088,            -96.00
02089,            392.00
02090,           -176.00
02091,           -272.00
02092,            368.00
02093,             24.00
02094,           -376.00
02095,            248.00
02096,            208.00
02097,           -384.00
02098,             48.00
02099,            352.00
02100,           -304.00
02101,           -144.00
02102,            384.00
02103,           -136.00
02104,           -312.00
02105,            336.00
02106,             72.00
02107,           -384.00
02108,            200.00
02109,            248.00
02110,           -376.00
02111,              8.00
02112,            368.00
02113,           -264.00
02114,           -192.00
02115,            384.00
02116,            -88.00
02117,           -344.00
02118,            320.00
02119,            120.00
02120,           -384.00
02121,            152.00
02122,            288.00
02123,           -368.00
02124,            -40.00
02125,            368.00
02126,           -216.00
02127,           -232.00
02128,            376.00
02129,            -32.00
02130,           -360.00
02131,            280.00
02132,            168.00
02133,           -392.00
02134,            104.00
02135,            320.00
02136,           -336.00
02137,            -88.00
02138,            384.00
