Unit:(mV)
                     CH1         CH2
Frequency              ?           ?
00588            -132.00    -1800.00
00589            -128.00    -1800.00
00590            -128.00    -1800.00
00591            -128.00    -1800.00
00592            -124.00    -1800.00
00593            -104.00    -1800.00
00594             -76.00    -1720.00
00595             -48.00    -1560.00
00596             -32.00    -1240.00
00597             -32.00     -880.00
00598             -28.00     -560.00
00599             -32.00     -400.00
00600             -32.00     -400.00
00601             -32.00     -400.00
00602             -32.00     -400.00
00603             -32.00     -360.00
00604             -36.00     -400.00
00605             -48.00     -400.00
00606             -80.00     -360.00
00607            -100.00     -360.00
00608            -124.00     -280.00
00609            -128.00     -320.00
00610            -128.00     -320.00
00611            -132.00     -280.00
00612            -132.00     -280.00
00613            -132.00     -280.00
00614            -132.00     -320.00
00615            -132.00     -280.00
00616            -132.00     -360.00
00617            -132.00     -480.00
00618            -132.00     -640.00
00619            -116.00     -840.00
00620             -92.00    -1040.00
00621             -56.00    -1080.00
00622             -36.00    -1080.00
00623             -32.00    -1080.00
00624             -32.00    -1080.00
00625             -40.00    -1080.00
00626             -36.00    -1080.00
00627             -32.00    -1120.00
00628             -32.00    -1120.00
00629             -36.00    -1120.00
00630             -36.00    -1120.00
00631             -32.00    -1120.00
00632             -56.00    -1120.00
00633             -84.00    -1160.00
00634            -116.00    -1120.00
00635            -132.00    -1120.00
00636            -136.00    -1160.00
00637            -136.00    -1120.00
00638            -132.00    -1120.00
00639            -136.00    -1120.00
00640            -136.00     -960.00
00641            -132.00     -880.00
00642            -136.00     -680.00
00643            -132.00     -480.00
00644            -132.00     -360.00
00645            -132.00     -280.00
00646            -124.00     -280.00
00647            -104.00     -280.00
00648             -76.00     -280.00
00649             -48.00     -280.00
00650             -32.00     -320.00
00651             -32.00     -280.00
00652             -28.00     -280.00
00653             -28.00     -280.00
00654             -32.00     -280.00
00655             -32.00     -280.00
00656             -32.00     -320.00
00657             -32.00     -280.00
00658             -32.00     -280.00
00659             -32.00     -320.00
00660             -48.00     -320.00
00661             -68.00     -480.00
00662            -100.00     -840.00
00663            -116.00    -1240.00
00664            -132.00    -1560.00
00665            -132.00    -1840.00
00666            -132.00    -1880.00
00667            -132.00    -1920.00
00668            -128.00    -1880.00
00669            -128.00    -1920.00
00670            -128.00    -1920.00
00671            -128.00    -2000.00
00672            -128.00    -1960.00
00673            -124.00    -1960.00
00674            -128.00    -1960.00
00675            -120.00    -1960.00
00676             -92.00    -2000.00
00677             -68.00    -2000.00
00678             -40.00    -2000.00
00679             -32.00    -2000.00
00680             -28.00    -2000.00
00681             -28.00    -2000.00
00682             -28.00    -2000.00
00683             -28.00    -1920.00
00684             -28.00    -1800.00
00685             -36.00    -1560.00
00686             -32.00    -1240.00
00687             -32.00     -800.00
00688             -28.00     -400.00
00689             -64.00     -400.00
00690             -96.00     -360.00
00691            -120.00     -360.00
00692            -140.00     -360.00
00693            -140.00     -400.00
00694            -140.00     -320.00
00695            -136.00     -320.00
00696            -140.00     -320.00
00697            -136.00     -280.00
00698            -136.00     -280.00
00699            -136.00     -320.00
00700            -136.00     -280.00
00701            -132.00     -280.00
00702            -132.00     -280.00
00703            -124.00     -280.00
00704            -104.00     -360.00
00705             -80.00     -640.00
00706             -44.00     -920.00
00707             -28.00    -1200.00
00708             -32.00    -1480.00
00709             -32.00    -1680.00
00710             -36.00    -1720.00
00711             -32.00    -1680.00
00712             -32.00    -1680.00
00713             -32.00    -1720.00
00714             -36.00    -1760.00
00715             -32.00    -1760.00
00716             -36.00    -1760.00
00717             -60.00    -1800.00
00718             -72.00    -1800.00
00719             -88.00    -1800.00
00720            -100.00    -1800.00
00721             -92.00    -1840.00
00722             -88.00    -1840.00
00723             -88.00    -1840.00
00724             -88.00    -1800.00
00725             -92.00    -1800.00
00726             -88.00    -1760.00
00727             -88.00    -1640.00
00728             -84.00    -1400.00
00729             -84.00    -1120.00
00730             -80.00     -800.00
00731             -72.00     -360.00
00732             -64.00     -320.00
00733             -40.00     -320.00
00734             -32.00     -360.00
00735             -32.00     -320.00
00736             -32.00     -320.00
00737             -28.00     -320.00
00738             -28.00     -280.00
00739             -28.00     -280.00
00740             -36.00     -280.00
00741             -28.00     -280.00
00742             -32.00     -240.00
00743             -28.00     -240.00
00744             -36.00     -240.00
00745             -72.00     -240.00
00746             -96.00     -240.00
00747            -120.00     -240.00
00748            -128.00     -480.00
00749            -128.00     -840.00
00750            -132.00    -1200.00
00751            -128.00    -1440.00
00752            -124.00    -1640.00
00753            -128.00    -1680.00
00754            -128.00    -1680.00
00755            -128.00    -1680.00
00756            -124.00    -1720.00
00757            -128.00    -1680.00
00758            -120.00    -1680.00
00759            -104.00    -1720.00
00760             -76.00    -1720.00
00761             -52.00    -1720.00
00762             -28.00    -1680.00
00763             -32.00    -1680.00
00764             -36.00    -1680.00
00765             -36.00    -1720.00
00766             -32.00    -1720.00
00767             -32.00    -1720.00
00768             -28.00    -1720.00
00769             -36.00    -1720.00
00770             -36.00    -1560.00
00771             -32.00    -1360.00
00772             -48.00    -1080.00
00773             -80.00     -760.00
00774            -108.00     -440.00
00775            -132.00     -360.00
00776            -136.00     -280.00
00777            -132.00     -280.00
00778            -132.00     -280.00
00779            -132.00     -280.00
00780            -136.00     -320.00
00781            -136.00     -280.00
00782            -132.00     -280.00
00783            -136.00     -280.00
00784            -136.00     -280.00
00785            -136.00     -280.00
00786            -132.00     -280.00
00787            -104.00     -240.00
00788             -80.00     -240.00
00789             -52.00     -240.00
00790             -36.00     -240.00
00791             -32.00     -360.00
00792             -32.00     -720.00
00793             -32.00    -1040.00
00794             -40.00    -1360.00
00795             -40.00    -1640.00
00796             -36.00    -1760.00
00797             -36.00    -1760.00
00798             -36.00    -1760.00
00799             -36.00    -1760.00
00800             -60.00    -1800.00
00801             -88.00    -1760.00
00802            -116.00    -1800.00
00803            -136.00    -1800.00
00804            -140.00    -1840.00
00805            -136.00    -1840.00
00806            -132.00    -1840.00
00807            -132.00    -1840.00
00808            -132.00    -1840.00
00809            -128.00    -1880.00
00810            -124.00    -1840.00
00811            -124.00    -1840.00
00812            -132.00    -1880.00
00813            -128.00    -1880.00
00814            -120.00    -1800.00
00815            -100.00    -1600.00
00816             -76.00    -1360.00
00817             -44.00     -960.00
00818             -32.00     -600.00
00819             -36.00     -400.00
00820             -36.00     -400.00
00821             -28.00     -360.00
00822             -28.00     -360.00
00823             -24.00     -360.00
00824             -36.00     -400.00
00825             -36.00     -360.00
00826             -36.00     -360.00
00827             -32.00     -320.00
00828             -52.00     -360.00
00829             -88.00     -360.00
00830            -108.00     -360.00
00831            -124.00     -280.00
00832            -132.00     -280.00
00833            -132.00     -280.00
00834            -132.00     -280.00
00835            -132.00     -320.00
00836            -132.00     -480.00
00837            -136.00     -880.00
00838            -132.00    -1240.00
00839            -132.00    -1520.00
00840            -132.00    -1760.00
00841            -136.00    -1880.00
00842            -124.00    -1880.00
00843            -108.00    -1920.00
00844             -84.00    -1880.00
00845             -56.00    -1920.00
00846             -36.00    -1920.00
00847             -32.00    -1920.00
00848             -32.00    -1920.00
00849             -36.00    -1960.00
00850             -40.00    -1960.00
00851             -32.00    -1920.00
00852             -32.00    -1960.00
00853             -36.00    -1960.00
00854             -36.00    -2000.00
00855             -36.00    -2000.00
00856             -40.00    -1960.00
00857             -68.00    -2000.00
00858             -88.00    -2000.00
00859            -116.00    -2000.00
00860            -136.00    -1840.00
00861            -136.00    -1560.00
00862            -136.00    -1200.00
00863            -136.00     -720.00
00864            -136.00     -320.00
00865            -136.00     -320.00
00866            -136.00     -320.00
00867            -136.00     -320.00
00868            -136.00     -280.00
00869            -136.00     -320.00
00870            -136.00     -280.00
00871            -132.00     -280.00
00872            -128.00     -280.00
00873            -112.00     -280.00
00874             -84.00     -280.00
00875             -68.00     -280.00
00876             -40.00     -280.00
00877             -32.00     -240.00
00878             -32.00     -240.00
00879             -32.00     -240.00
00880             -32.00     -240.00
00881             -32.00     -240.00
00882             -32.00     -480.00
00883             -32.00     -840.00
00884             -36.00    -1200.00
00885             -32.00    -1440.00
00886             -32.00    -1680.00
00887             -40.00    -1720.00
00888             -68.00    -1680.00
00889             -96.00    -1720.00
00890            -112.00    -1760.00
00891            -128.00    -1720.00
00892            -128.00    -1720.00
00893            -132.00    -1720.00
00894            -132.00    -1720.00
00895            -132.00    -1720.00
00896            -128.00    -1760.00
00897            -128.00    -1720.00
00898            -128.00    -1720.00
00899            -128.00    -1720.00
00900            -128.00    -1720.00
00901            -124.00    -1720.00
00902            -120.00    -1760.00
00903            -100.00    -1760.00
00904             -80.00    -1760.00
00905             -60.00    -1760.00
00906             -36.00    -1560.00
00907             -32.00    -1360.00
00908             -28.00    -1080.00
00909             -32.00     -680.00
00910             -32.00     -440.00
00911             -28.00     -360.00
00912             -32.00     -400.00
00913             -28.00     -360.00
00914             -32.00     -400.00
00915             -32.00     -400.00
00916             -32.00     -400.00
00917             -68.00     -360.00
00918             -96.00     -360.00
00919            -124.00     -400.00
00920            -140.00     -360.00
00921            -140.00     -280.00
00922            -136.00     -280.00
00923            -144.00     -280.00
00924            -136.00     -320.00
00925            -136.00     -320.00
00926            -140.00     -280.00
00927            -136.00     -280.00
00928            -132.00     -440.00
00929            -136.00     -720.00
00930            -132.00    -1040.00
00931            -124.00    -1320.00
00932            -100.00    -1560.00
00933             -80.00    -1720.00
00934             -56.00    -1720.00
00935             -28.00    -1720.00
00936             -36.00    -1720.00
00937             -28.00    -1760.00
00938             -32.00    -1720.00
00939             -28.00    -1760.00
00940             -32.00    -1760.00
00941             -32.00    -1800.00
00942             -32.00    -1760.00
00943             -32.00    -1800.00
00944             -36.00    -1760.00
00945             -48.00    -1760.00
00946             -64.00    -1800.00
00947             -76.00    -1760.00
00948             -88.00    -1760.00
00949             -96.00    -1800.00
00950             -96.00    -1840.00
00951             -92.00    -1840.00
00952             -92.00    -1680.00
00953             -88.00    -1520.00
00954             -88.00    -1240.00
00955             -92.00     -880.00
00956             -92.00     -600.00
00957             -84.00     -320.00
00958             -84.00     -360.00
00959             -84.00     -400.00
00960             -80.00     -400.00
00961             -68.00     -360.00
00962             -52.00     -360.00
00963             -36.00     -360.00
00964             -32.00     -400.00
00965             -32.00     -360.00
00966             -28.00     -320.00
00967             -28.00     -280.00
00968             -28.00     -280.00
00969             -32.00     -280.00
00970             -32.00     -320.00
00971             -32.00     -280.00
00972             -32.00     -280.00
00973             -32.00     -280.00
00974             -40.00     -320.00
00975             -72.00     -520.00
00976             -96.00     -680.00
00977            -116.00     -840.00
00978            -124.00     -960.00
