t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0.00505,-0.009329046693,-1.300818196334,513.666873503278,0.000507395846,0.349318141837,170.777911917899,0.000461103946,112005.57289155257,0.00857009420674173,0.0014246419898417875,16.0967911917899
0.005055,-0.009335550784,-1.298249861966,514.984731074223,0.000509142437,0.350172031397,170.977816787899,0.000461050634,112023.70524026161,0.008579094654226448,0.0014241537520313023,16.116781678789902
0.00506,-0.009342042033,-1.295674938311,516.303020197471,0.000510893297,0.351026920481,171.17722211705,0.000460997379,112041.82322690936,0.008588085118198347,0.0014236644919060342,16.136722211705003
0.005065,-0.009348520408,-1.29309342321,517.621715893695,0.000512648432,0.351882806592,171.376122458391,0.000460944182,112059.92649698668,0.00859706551308588,0.0014231742089970529,16.1566122458391
0.00507,-0.009354985875,-1.290505314631,518.94079290269,0.000514407846,0.352739687204,171.574512435063,0.000460891043,112078.01503606096,0.00860603575042275,0.001422682903398567,16.176451243506303
0.005075,-0.009361438402,-1.287910610666,520.26024068193,0.000516171544,0.353597559766,171.772391481446,0.000460837963,112096.0884891638,0.008614995744393521,0.001422190574929661,16.1962391481446
0.00508,-0.009367877955,-1.285309309463,521.580033800693,0.000517939532,0.354456421723,171.969754158369,0.000460784942,112114.14684159248,0.008623945406284797,0.0014216972231347914,16.2159754158369
0.005085,-0.009374304502,-1.282701409294,522.900161585597,0.000519711814,0.355316270494,172.166599938271,0.000460731981,112132.18973792097,0.008632884650040426,0.001421202848120985,16.2356599938271
0.00509,-0.009380718009,-1.280086908486,524.220598435938,0.000521488395,0.356177103494,172.362923420864,0.000460679081,112150.21682235415,0.00864181338670311,0.0014207074497204575,16.255292342086403
0.005095,-0.009387118444,-1.277465805494,525.541318806112,0.000523269281,0.357038918111,172.558719175154,0.000460626242,112168.22807964587,0.008650731529979172,0.001420211027491115,16.2748719175154
0.0051,-0.009393505773,-1.2748380989,526.862311629374,0.000525054476,0.357901711707,172.753986681061,0.000460573465,112186.22315354618,0.00865963899067065,0.0014197135815528605,16.2943986681061
0.005105,-0.009399879963,-1.272203787342,528.183551106775,0.000526843985,0.35876548164,172.948720546839,0.00046052075,112204.2020285427,0.008668535680853245,0.001419215111751102,16.313872054683902
0.00511,-0.009406240982,-1.269562869586,529.505026211259,0.000528637812,0.359630225243,173.142920257332,0.000460468098,112222.16434793241,0.008677421513883066,0.001418715618214059,16.3332920257332
0.005115,-0.009412588796,-1.266915344455,530.826710890936,0.000530435963,0.360495939844,173.336580392427,0.000460415509,112240.11009593809,0.008686296400207292,0.0014182151005173657,16.3526580392427
0.00512,-0.009418923373,-1.264261210901,532.148593989827,0.000532238443,0.361362622746,173.529700407851,0.000460362984,112258.03891540538,0.008695160252952666,0.0014177135585196805,16.3719700407851
0.005125,-0.009425244679,-1.261600467931,533.470649288215,0.000534045256,0.362230271248,173.72227495716,0.000460310524,112275.95044881482,0.008704012982333934,0.0014172109923621923,16.391227495716002
0.00513,-0.009431552681,-1.258933114685,534.792850539433,0.000535856407,0.363098882623,173.914298663424,0.000460258129,112293.84467985487,0.008712854499849577,0.0014167074019121246,16.4104298663424
0.005135,-0.009437847347,-1.256259150432,536.115186366515,0.000537671901,0.363968454116,174.105770990614,0.0004602058,112311.72125055792,0.008721684718288538,0.001416202787041143,16.4295770990614
0.00514,-0.009444128643,-1.2535785745,537.437630270565,0.000539491743,0.364838982971,174.296686567734,0.000460153537,112329.58014435187,0.00873050354752323,0.0014156971476253619,16.448668656773403
0.005145,-0.009450396536,-1.250891386349,538.760170660626,0.000541315938,0.365710466404,174.487044863965,0.000460101342,112347.42066097133,0.008739310898715876,0.0014151904835453502,16.4677044863965
0.00515,-0.009456650993,-1.248197585496,540.082766005236,0.00054314449,0.366582901628,174.676835712559,0.000460049214,112365.24312525094,0.00874810668291833,0.0014146827949637344,16.486683571255902
0.005155,-0.009462891981,-1.245497171666,541.405419500963,0.000544977405,0.367456285807,174.866063390797,0.000459997154,112383.04717833285,0.00875689081107292,0.0014141740814922156,16.5056063390797
0.00516,-0.009469119467,-1.242790144568,542.728104404215,0.000546814686,0.368330616124,175.054722608725,0.000459945163,112400.83246099872,0.008765663194013337,0.0014136643435795485,16.5244722608725
0.005165,-0.009475333418,-1.240076504046,544.050793860619,0.000548656339,0.369205889737,175.242807977352,0.000459893242,112418.59861367039,0.008774423742465487,0.0014131535808462865,16.5432807977352
0.00517,-0.009481533801,-1.237356250077,545.373460905274,0.000550502368,0.370082103777,175.430314180273,0.000459841391,112436.3456187265,0.008783172367048364,0.0014126417934722493,16.5620314180273
0.005175,-0.009487720582,-1.234629382772,546.696093423214,0.000552352779,0.370959255348,175.617240670202,0.00045978961,112454.07345855798,0.008791908976862233,0.0014121289810871734,16.5807240670202
0.00518,-0.009493893729,-1.231895902305,548.018679440802,0.000554207575,0.371837341551,175.803587005398,0.000459737901,112471.78143056684,0.008800633483725333,0.0014116151441566447,16.5993587005398
0.005185,-0.009500053209,-1.229155808908,549.341176691029,0.000556066762,0.372716359486,175.989342976975,0.000459686264,112489.46951661451,0.008809345797941253,0.0014111002823192988,16.6179342976975
0.00519,-0.009506198988,-1.226409103025,550.663572842941,0.000557930344,0.373596306201,176.174508116095,0.000459634699,112507.13769857578,0.008818045828294045,0.0014105843957722423,16.636450811609503
0.005195,-0.009512331034,-1.223655785161,551.98585570863,0.000559798326,0.374477178742,176.359081921756,0.000459583207,112524.78561556176,0.00882673348629536,0.0014100674844400147,16.6549081921756
