"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.324309011E1,-3.600000000E1,5.390625381E1,2.212500095E0,6.485968977E1
1.325309011E1,-3.596250153E1,5.356875229E1,2.118750095E0,6.455541681E1
1.326309011E1,-3.583125305E1,5.356875229E1,2.418750048E0,6.449294743E1
1.327309011E1,-3.577500153E1,5.366250229E1,2.456250191E0,6.454105710E1
1.328309011E1,-3.581250000E1,5.386875153E1,2.231250048E0,6.472523483E1
1.329309011E1,-3.540000153E1,5.401875305E1,2.025000095E0,6.461645622E1
1.330309011E1,-3.517500305E1,5.422500229E1,1.987500072E0,6.466515189E1
1.331309011E1,-3.519375229E1,5.454375076E1,2.062500000E0,6.494516806E1
1.332309011E1,-3.523125076E1,5.441250229E1,2.025000095E0,6.485415994E1
1.333309011E1,-3.528750229E1,5.461875153E1,2.006250143E0,6.505721233E1
1.334309011E1,-3.541875076E1,5.452500153E1,1.631250024E0,6.503940862E1
1.335309011E1,-3.545625305E1,5.460000229E1,1.612500072E0,6.512224111E1
1.336309011E1,-3.558750153E1,5.467500305E1,1.725000024E0,6.525949623E1
1.337309011E1,-3.579375076E1,5.463750076E1,1.725000024E0,6.534083492E1
1.338309011E1,-3.596250153E1,5.456250381E1,1.743750095E0,6.537131636E1
1.339309011E1,-3.575625229E1,5.454375076E1,1.668750048E0,6.524044031E1
1.340309011E1,-3.579375076E1,5.480625153E1,1.725000024E0,6.548200841E1
1.341309011E1,-3.558750153E1,5.471250153E1,1.725000024E0,6.529091601E1
1.342309011E1,-3.543750000E1,5.476875305E1,1.762500048E0,6.525748328E1
1.343309011E1,-3.525000000E1,5.460000229E1,1.518750072E0,6.500791761E1
1.344309011E1,-3.523125076E1,5.458125305E1,1.537500024E0,6.498244472E1
1.345309011E1,-3.519375229E1,5.443125153E1,1.668750048E0,6.483938671E1
1.346309011E1,-3.523125076E1,5.446875381E1,1.837500095E0,6.489578244E1
1.347309011E1,-3.547500229E1,5.446875381E1,1.556250095E0,6.502109538E1
1.348309011E1,-3.526875305E1,5.454375076E1,1.481250048E0,6.496999146E1
1.349309011E1,-3.541875076E1,5.473125076E1,1.481250048E0,6.520883236E1
1.350309011E1,-3.547500229E1,5.475000381E1,1.762500048E0,6.526212616E1
1.351309011E1,-3.585000229E1,5.471250153E1,2.006250143E0,6.544238326E1
1.352309011E1,-3.566250229E1,5.458125305E1,2.025000095E0,6.523057473E1
1.353309011E1,-3.562500000E1,5.458125305E1,2.100000143E0,6.521245134E1
1.354309011E1,-3.556875229E1,5.446875381E1,1.950000048E0,6.508289930E1
1.355309011E1,-3.549375153E1,5.458125305E1,2.118750095E0,6.514145135E1
1.356309011E1,-3.573750305E1,5.450625229E1,2.287500143E0,6.521758444E1
1.357309011E1,-3.570000076E1,5.426250076E1,2.268750191E0,6.499274014E1
1.358309011E1,-3.577500153E1,5.424375153E1,2.081250191E0,6.501205208E1
1.359309011E1,-3.553125000E1,5.433750153E1,2.156250000E0,6.495908876E1
1.360309011E1,-3.556875229E1,5.445000076E1,2.081250191E0,6.507127112E1
1.361309011E1,-3.556875229E1,5.458125305E1,2.137500048E0,6.518295966E1
1.362309011E1,-3.583125305E1,5.484375381E1,2.175000191E0,6.554728563E1
1.363309011E1,-3.566250229E1,5.486250305E1,2.362500191E0,6.547739853E1
1.364309011E1,-3.549375153E1,5.488125229E1,2.306250095E0,6.539936574E1
1.365309011E1,-3.573750305E1,5.495625305E1,2.268750191E0,6.559349130E1
1.366309011E1,-3.551250076E1,5.484375381E1,2.362500191E0,6.538009215E1
1.367309011E1,-3.579375076E1,5.484375381E1,2.231250048E0,6.552868382E1
1.368309011E1,-3.577500153E1,5.518125153E1,2.156250000E0,6.579871327E1
1.369309011E1,-3.553125000E1,5.518125153E1,2.025000095E0,6.566232460E1
1.370309011E1,-3.511875153E1,5.503125381E1,1.912500024E0,6.531020794E1
1.371309011E1,-3.513750076E1,5.488125229E1,1.893750072E0,6.519342070E1
1.372309011E1,-3.517500305E1,5.480625153E1,1.950000048E0,6.515219525E1
1.373309011E1,-3.506250000E1,5.463750076E1,2.006250143E0,6.495121581E1
1.374309011E1,-3.519375229E1,5.465625381E1,1.893750072E0,6.503454905E1
1.375309011E1,-3.491250229E1,5.452500153E1,1.818750024E0,6.477010467E1
1.376309011E1,-3.474375153E1,5.416875076E1,1.893750072E0,6.438142681E1
1.377309011E1,-3.481875229E1,5.405625153E1,2.193750143E0,6.433689750E1
1.378309011E1,-3.491250229E1,5.390625381E1,2.587500095E0,6.427645116E1
1.379309011E1,-3.493125153E1,5.422500229E1,2.550000191E0,6.455265841E1
1.380309011E1,-3.495000076E1,5.424375153E1,2.662500143E0,6.458309407E1
1.381309011E1,-3.511875153E1,5.430000305E1,2.606250048E0,6.471946832E1
1.382309011E1,-3.508125305E1,5.415000153E1,2.775000095E0,6.458031903E1
1.383309011E1,-3.521250153E1,5.418750381E1,3.000000000E0,6.469316682E1
1.384309011E1,-3.540000153E1,5.390625381E1,3.018750191E0,6.456126672E1
