"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.815556055E0,3.004312744E2,7.068750381E0,-5.857500076E1,3.061698035E2
1.825556055E0,3.084937744E2,6.618750095E0,-5.786250305E1,3.139431254E2
1.835556055E0,3.165187683E2,6.150000095E0,-5.662500381E1,3.216027740E2
1.845556055E0,3.246750183E2,6.037500381E0,-5.553750229E1,3.294461004E2
1.855556055E0,3.333187561E2,6.112500191E0,-5.424375153E1,3.377589975E2
1.865556055E0,3.416250000E2,6.075000286E0,-5.251875305E1,3.456917206E2
1.875556055E0,3.500062561E2,6.431250095E0,-5.101875305E1,3.537635559E2
1.885556055E0,3.586500244E2,7.050000191E0,-4.933125305E1,3.620954502E2
1.895556055E0,3.674062500E2,7.612500191E0,-4.768125153E1,3.705655198E2
1.905556055E0,3.765000000E2,8.193750381E0,-4.635000229E1,3.794307714E2
1.915556055E0,3.854437561E2,8.906250000E0,-4.539375305E1,3.882097413E2
1.925556055E0,3.944625244E2,9.768750191E0,-4.447500229E1,3.970820286E2
1.935556055E0,4.040625305E2,1.074375057E1,-4.376250076E1,4.065674768E2
1.945556055E0,4.139812622E2,1.175625038E1,-4.350000000E1,4.164263979E2
1.955556055E0,4.242937622E2,1.280625057E1,-4.331250000E1,4.266909530E2
1.965556055E0,4.345125122E2,1.391250038E1,-4.297500229E1,4.368541310E2
1.975556055E0,4.449187622E2,1.528125095E1,-4.254375076E1,4.472093384E2
1.985556055E0,4.555875244E2,1.683750153E1,-4.201875305E1,4.578308306E2
1.995556055E0,4.665000305E2,1.865625000E1,-4.149375153E1,4.687132018E2
2.005556055E0,4.791187744E2,2.077500153E1,-4.044375229E1,4.812713349E2
2.015556055E0,4.912312622E2,2.289375114E1,-3.909375000E1,4.933159212E2
2.025556055E0,5.033250122E2,2.544375038E1,-3.761250305E1,5.053693231E2
2.035556055E0,5.153250122E2,2.793750191E1,-3.543750000E1,5.172970023E2
2.045556055E0,5.272125244E2,3.073125076E1,-3.341250229E1,5.291633500E2
2.055556055E0,5.391187744E2,3.352500153E1,-3.116250038E1,5.410582964E2
2.065556055E0,5.506500244E2,3.628125000E1,-2.887500191E1,5.525988999E2
2.075556055E0,5.624062500E2,3.898125076E1,-2.619375038E1,5.643637484E2
2.085556055E0,5.726250000E2,4.143750000E1,-2.385000038E1,5.746175072E2
2.095556055E0,5.826000366E2,4.398750305E1,-2.145000076E1,5.846518670E2
2.105556055E0,5.928187866E2,4.685625076E1,-1.875000000E1,5.949631791E2
2.115556055E0,6.026437988E2,4.983750153E1,-1.616250038E1,6.049169788E2
2.125556055E0,6.124312744E2,5.302500153E1,-1.335000038E1,6.148674159E2
2.135556055E0,6.221062622E2,5.645625305E1,-1.046250057E1,6.247503293E2
2.145556055E0,6.316312866E2,6.015000153E1,-7.350000381E0,6.345314235E2
2.155556055E0,6.407437744E2,6.388125229E1,-3.956250191E0,6.439324893E2
2.165556055E0,6.493875122E2,6.781875610E1,-5.250000358E-1,6.529194440E2
2.175556055E0,6.579375000E2,7.194375610E1,2.981250048E0,6.618659576E2
2.185556055E0,6.660562744E2,7.558125305E1,6.168750286E0,6.703592619E2
2.195556055E0,6.742500000E2,7.912500000E1,9.300000191E0,6.789405851E2
2.205556055E0,6.821250000E2,8.238750458E1,1.196250057E1,6.871865234E2
2.215556055E0,6.895125122E2,8.520000458E1,1.451250076E1,6.949080212E2
2.225556055E0,6.969000244E2,8.782500458E1,1.702500153E1,7.026184784E2
2.235556055E0,7.041562500E2,9.035625458E1,1.890000153E1,7.101813059E2
2.245556055E0,7.113187866E2,9.249375153E1,2.049375153E1,7.175998217E2
2.255556055E0,7.182187500E2,9.457500458E1,2.216250038E1,7.247577394E2
2.265556055E0,7.250062866E2,9.686250305E1,2.373750114E1,7.318332659E2
2.275556055E0,7.312312622E2,9.935625458E1,2.529375076E1,7.383837742E2
2.285556055E0,7.376062622E2,1.016437531E2,2.743125153E1,7.450818238E2
2.295556055E0,7.438500366E2,1.044562531E2,2.913750076E1,7.517133627E2
2.305556055E0,7.499625244E2,1.072312546E2,3.076875114E1,7.582143800E2
2.315556055E0,7.558312988E2,1.101375046E2,3.230625153E1,7.644965115E2
2.325556055E0,7.617562866E2,1.129312515E2,3.384375000E1,7.708252118E2
2.335556055E0,7.677000122E2,1.156500015E2,3.504375076E1,7.771526852E2
2.345556055E0,7.731750488E2,1.181625061E2,3.620625305E1,7.829897360E2
2.355556055E0,7.788000488E2,1.205812531E2,3.706875229E1,7.889508521E2
2.365556055E0,7.842188110E2,1.228312531E2,3.774375153E1,7.946768218E2
2.375556055E0,7.896563110E2,1.247625046E2,3.870000076E1,8.003876949E2
2.385556055E0,7.945125122E2,1.269187546E2,3.952500153E1,8.055561607E2
2.395556055E0,7.993312988E2,1.287750092E2,4.038750076E1,8.106446068E2
2.405556055E0,8.040375366E2,1.307625122E2,4.140000153E1,8.156525946E2
2.415556055E0,8.081437988E2,1.326750031E2,4.245000076E1,8.200616188E2
2.425556055E0,8.133750610E2,1.349437561E2,4.374375153E1,8.256526649E2
2.435556055E0,8.184187622E2,1.368000031E2,4.496250153E1,8.309904558E2
2.445556055E0,8.232188110E2,1.388250122E2,4.565625000E1,8.360897607E2
2.455556055E0,8.277375488E2,1.406437531E2,4.663125229E1,8.408951116E2
2.465556055E0,8.326312866E2,1.425375061E2,4.751250076E1,8.460787421E2
2.475556055E0,8.372437744E2,1.445062561E2,4.846875381E1,8.510043572E2
2.485556055E0,8.416687622E2,1.466250000E2,4.951875305E1,8.557787698E2
2.495556055E0,8.464125366E2,1.486500092E2,5.034375381E1,8.608399973E2
2.505556055E0,8.499562988E2,1.504500122E2,5.115000153E1,8.646833170E2
2.515556055E0,8.533500366E2,1.528500061E2,5.231250381E1,8.685079202E2
2.525556055E0,8.563500366E2,1.552875061E2,5.381250381E1,8.719778554E2
2.535556055E0,8.591062622E2,1.576500092E2,5.527500153E1,8.751985037E2
2.545556055E0,8.612250366E2,1.595062561E2,5.685000229E1,8.777144936E2
2.555556055E0,8.629688110E2,1.612125092E2,5.868750381E1,8.798572981E2
2.565556055E0,8.644312744E2,1.626000061E2,6.020625305E1,8.816490135E2
2.575556055E0,8.652937622E2,1.637250061E2,6.198750305E1,8.828259302E2
2.585556055E0,8.659125366E2,1.642500000E2,6.356250381E1,8.836417687E2
2.595556055E0,8.663438110E2,1.644937592E2,6.459375000E1,8.841844538E2
2.605556055E0,8.666062622E2,1.644562531E2,6.586875153E1,8.845286684E2
2.615556055E0,8.668687744E2,1.644562531E2,6.669375610E1,8.848476639E2
2.625556055E0,8.670187988E2,1.644937592E2,6.742500305E1,8.850570181E2
2.635556055E0,8.673000488E2,1.652625122E2,6.795000458E1,8.855158247E2
2.645556055E0,8.674125366E2,1.659750061E2,6.868125153E1,8.858156273E2
2.655556055E0,8.675812988E2,1.670250092E2,6.931875610E1,8.862278227E2
2.665556055E0,8.677875366E2,1.684312592E2,6.980625153E1,8.867340134E2
2.675556055E0,8.677125244E2,1.698750000E2,7.081875610E1,8.870162551E2
2.685556055E0,8.681062622E2,1.717312622E2,7.143750000E1,8.878082143E2
2.695556055E0,8.682562866E2,1.734750061E2,7.218750000E1,8.883544294E2
2.705556055E0,8.685562744E2,1.754437561E2,7.310625458E1,8.891091259E2
2.715556055E0,8.689500122E2,1.766250000E2,7.366875458E1,8.897739037E2
2.725556055E0,8.692500610E2,1.778437500E2,7.411875153E1,8.903469309E2
2.735556055E0,8.695313110E2,1.788375092E2,7.470000458E1,8.908690399E2
2.745556055E0,8.697188110E2,1.800187531E2,7.541250610E1,8.913498796E2
2.755556055E0,8.699437866E2,1.810312500E2,7.618125153E1,8.918397213E2
2.765556055E0,8.694187622E2,1.822312622E2,7.715625000E1,8.916559336E2
2.775556055E0,8.689312744E2,1.837500000E2,7.831875610E1,8.915937694E2
2.785556055E0,8.682750244E2,1.852125092E2,7.968750000E1,8.913783087E2
2.795556055E0,8.674312744E2,1.866750031E2,8.107500458E1,8.909869410E2
2.805556055E0,8.667000122E2,1.882312622E2,8.276250458E1,8.907578523E2
2.815556055E0,8.661375122E2,1.897500000E2,8.398125458E1,8.906470141E2
2.825556055E0,8.657250366E2,1.908187561E2,8.523750305E1,8.905936608E2
2.835556055E0,8.656500244E2,1.916812592E2,8.595000458E1,8.907744233E2
2.845556055E0,8.659125366E2,1.915500031E2,8.679375458E1,8.910830941E2
2.855556055E0,8.663438110E2,1.912125092E2,8.715000153E1,8.914644947E2
2.865556055E0,8.670750122E2,1.907062531E2,8.700000000E1,8.920521015E2
2.875556055E0,8.676937866E2,1.902000122E2,8.705625153E1,8.925510310E2
2.885556055E0,8.685938110E2,1.895437622E2,8.645625305E1,8.932282631E2
2.895556055E0,8.691563110E2,1.888875122E2,8.611875153E1,8.936037291E2
2.905556055E0,8.697750244E2,1.881187592E2,8.566875458E1,8.940002216E2
2.915556055E0,8.705250244E2,1.875937500E2,8.527500153E1,8.945820583E2
