Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00501             -32.00     -760.00
00502             -32.00     -400.00
00503             -72.00     -240.00
00504            -112.00     -280.00
00505            -128.00     -280.00
00506            -128.00     -280.00
00507            -128.00     -280.00
00508            -132.00     -280.00
00509            -120.00     -280.00
00510            -124.00     -280.00
00511            -124.00     -680.00
00512            -128.00    -1400.00
00513            -116.00    -1800.00
00514             -84.00    -1840.00
00515             -36.00    -1840.00
00516             -32.00    -1840.00
00517             -32.00    -1840.00
00518             -32.00    -1840.00
00519             -24.00    -1880.00
00520             -28.00    -1840.00
00521             -32.00    -1880.00
00522             -28.00    -1640.00
00523             -40.00    -1080.00
00524             -84.00     -280.00
00525            -108.00     -280.00
00526            -120.00     -280.00
00527            -116.00     -280.00
00528            -116.00     -280.00
00529            -116.00     -240.00
00530            -116.00     -240.00
00531            -116.00     -240.00
00532            -112.00     -400.00
00533            -116.00     -920.00
00534             -96.00    -1360.00
00535             -56.00    -1440.00
00536             -32.00    -1520.00
00537             -28.00    -1520.00
00538             -24.00    -1520.00
00539             -28.00    -1520.00
00540             -32.00    -1520.00
00541             -28.00    -1560.00
00542             -28.00    -1560.00
00543             -32.00    -1360.00
00544             -76.00     -880.00
00545            -116.00     -320.00
00546            -132.00     -280.00
00547            -132.00     -280.00
00548            -128.00     -280.00
00549            -124.00     -280.00
00550            -124.00     -240.00
00551            -124.00     -240.00
00552            -120.00     -200.00
00553            -100.00     -280.00
00554             -48.00     -880.00
00555             -24.00    -1360.00
00556             -28.00    -1520.00
00557             -28.00    -1520.00
00558             -32.00    -1520.00
00559             -28.00    -1520.00
00560             -28.00    -1520.00
00561             -40.00    -1560.00
00562             -76.00    -1560.00
00563             -88.00    -1560.00
00564             -84.00    -1440.00
00565             -80.00    -1000.00
00566             -80.00     -400.00
00567             -80.00     -280.00
00568             -80.00     -280.00
00569             -76.00     -240.00
00570             -60.00     -240.00
00571             -36.00     -240.00
00572             -28.00     -240.00
