d, omega_{driving}, omega_{driven}/omega_{driving}, Delta phi, t_{run}, Avg, Dev, Switch dir., Avg deriv., Linear fit coef.
12.25,10.0,1.01,0.0,25.0,-0.7199859152954623,0.14280316316840283,False,0.02292867270825073,0.023032451837086233
12.25,10.0,1.02,0.0,25.0,-0.7277599161149254,0.1432972098204113,False,0.023165447536132224,0.02314004641099629
12.25,10.0,1.03,0.0,25.0,-0.7347206099744068,0.14346868189269157,False,0.023201470703838236,0.02316530062551265
12.25,10.0,1.04,0.0,25.0,-0.7401396419796527,0.14404385427916472,False,0.023533209639260286,0.023299476640949654
12.25,10.0,1.05,0.0,25.0,-0.7449672621825636,0.14455019341543773,False,0.023815442248117873,0.023412713449114688
12.25,10.0,1.06,0.0,25.0,-0.7501626206640123,0.14518152104100684,False,0.023964603602179245,0.023536225212550898
12.25,10.0,1.07,0.0,25.0,-0.758262055558927,0.14576759773110393,False,0.0241126928419735,0.023649358714847614
12.25,10.0,1.08,0.0,25.0,-0.7749610838096715,0.14542179852647819,False,0.02376166651259251,0.02353287280135435
12.25,10.0,1.09,0.0,25.0,-0.7997815341116328,0.1434839322747311,False,0.023039737001239083,0.023094620555489474
12.25,10.0,1.1,0.0,25.0,-0.8091390416123216,0.14355014050179096,False,0.02311775531122122,0.023114594986233018
12.25,10.0,1.11,0.0,25.0,-0.8079485707750056,0.14577665213336685,False,0.023614350936368263,0.023569545388134914
12.25,10.0,1.12,0.0,25.0,-0.8083188211413007,0.14781966047126927,False,0.02408818403176278,0.02397351252906667
12.25,10.0,1.13,0.0,25.0,-0.8234575547976881,0.14713059480723306,False,0.023899937468877572,0.02380481730141044
12.25,10.0,1.14,0.0,25.0,-0.8486843527895442,0.14305661466924016,False,0.023146271717456056,0.023033223861248828
12.25,10.0,1.15,0.0,25.0,-0.8466859093107538,0.14665423280182707,False,0.023781747760316448,0.023710994198180648
12.25,10.0,1.16,0.0,25.0,-0.8462165561221243,0.15000923034219876,False,0.024327950508838018,0.024307718297415917
12.25,10.0,1.17,0.0,25.0,-0.8728414837832578,0.14450423164741305,False,0.023468317966671794,0.023305720049658248
12.25,10.0,1.18,0.0,25.0,-0.8783877337713355,0.14610102739617267,False,0.023711543391584614,0.023607121918010853
